OT;Núm. Trabajo;Descripción Trabajo;VIN;Marca;Gama;Año;;Tipo Cargo;Tipo de Trabajo;Cliente Cargo  ;Kms.;F. Entrada;F. Cierre;Dif. F. Alta-F.Cierre;Estado
OTM/2246/2025;1;"CLIENTE SOLICITA LAVADO GENERAL SUMINISTRO GASOLINA  EVENTO  CLUB LAGARTO  AUT HERNAN/DIANA
";GTU134523;Hyundai;Kona;2026;;Cliente;OTRO;36599;10;13/08/2025;13/08/2025;0;Facturada
OTM/2253/2025;1;"CLIENTE REPORTA BRILLADO COBRO BODEGAJE
";BTP739224;Hyundai;HB20;2026;;Interno;OTRO;2;10;14/08/2025;14/08/2025;0;Facturada
OTM/2254/2025;1;"CLIENTE REPORTA COBRO BODEGAJE
";BSU343522;Hyundai;Tucson;2025;;Interno;OTRO;2;10;14/08/2025;14/08/2025;0;Facturada
OTM/2281/2025;1;"CLIENTE SOLICITA INSTALACION DE RADIOS ORIGINALES 
";ATM614982;Hyundai;Grand I10;2026;;Cliente;OTRO;36599;10;20/08/2025;20/08/2025;0;Facturada
OTM/2300/2025;1;CLIENTE REPORTA BRILLADO DESMANCHADO;DSU084255;Hyundai;Santa Fe;2025;;Interno;OTRO;2;10;23/08/2025;23/08/2025;0;Facturada
OTM/2301/2025;1;"CLIENTE REPORTA RAYON LEVE BOMPER DELNATERO
";DSU084255;Hyundai;Santa Fe;2025;;Interno;COLISION;2;10;23/08/2025;23/08/2025;0;Facturada
OTM/2304/2025;1;SUMINISTRAR BATERIA  SANTA FE;DSU084197;Hyundai;Santa Fe;2025;;Interno;MECANICA;2;10;25/08/2025;25/08/2025;0;Facturada
OTM/2305/2025;1;"CLIENTE SOLICITA TRASLADO DE VEHICULO  CALLE 235- CALLE 146 AUTOR HERNAN/DIANA
";BTJ366689;Hyundai;Tucson;2026;;Cliente;OTRO;36599;10;25/08/2025;25/08/2025;0;Facturada
OTM/2305/2025;2;"CLIENTE SOLICITA TRASLADO DE VEHICULO  CALLE 235- CALLE 146 AUTOR HERNAN/DIANA
";BTJ366689;Hyundai;Tucson;2026;;Cliente;OTRO;36599;10;25/08/2025;12/09/2025;0;Facturada
OTM/2305/2025;3;"CLIENTE SOLICITA TRASLADO DE VEHICULO  CALLE 235- CALLE 146 AUTOR HERNAN/DIANA
";BTJ366689;Hyundai;Tucson;2026;;Cliente;OTRO;36599;10;25/08/2025;12/09/2025;0;Facturada
OTM/2309/2025;1;"CLIENTE SOLICTA TOM ADE IMPRONTAS
";ATP729406;Hyundai;HB20S;2026;;Interno;MECANICA;2;10;29/08/2025;29/08/2025;0;Facturada
OTM/2310/2025;1;"CLIENTE SOLICTA TOMA IMPRONTAS
";ATP740226;Hyundai;HB20;2026;;Interno;MECANICA;2;10;29/08/2025;29/08/2025;0;Facturada
OTM/2350/2025;1;"COBRO DE PARQUEDERO MES SEPTIEMBRE  LO ACORDADO
";GTU141136;Hyundai;Kona;2026;;Cliente;OTRO;36599;10;3/09/2025;3/09/2025;0;Facturada
OTM/2351/2025;1;CLIENTE SOLICITA  SUMINISTRO COMBUSTIBLE;BTP739973;Hyundai;HB20S;2026;;Interno;OTRO;2;10;3/09/2025;7/09/2025;4;Facturada
OTM/2368/2025;1;"CLIENTE SOLICTA PAGP BODEGAJE
";BSU343483;Hyundai;Tucson;2025;;Interno;OTRO;2;10;7/09/2025;7/09/2025;0;Facturada
OTM/2382/2025;1;"CLIENTE SOLICTA  LAVADO EXTERIOR  4 GALONES COMBUSTIBLE EVENTO COUNTRY  AUT HERNAN
";GTU134523;Hyundai;Kona;2026;;Cliente;OTRO;36599;10;10/09/2025;10/09/2025;0;Facturada
OTM/2401/2025;1;CLIENTES SOLICITA  LAVADO GENERAL Y SUMINISTRO DE COMBUSTIBLE  EVENTO UNICENTRO AUT HERNAN;BTJ367013;Hyundai;Tucson;2026;;Cliente;OTRO;36599;10;12/09/2025;12/09/2025;0;Facturada
OTM/2402/2025;1;"CLIENTES SOLICITA SUMINISTRO COMBUSTIBLE
";BTJ365875;Hyundai;Tucson;2026;;Interno;OTRO;2;10;12/09/2025;12/09/2025;0;Facturada
OTM/2405/2025;1;"CLIENTES SOLICITA LAVADO GENERAL SUMINISTRO COMBUSTIBLE  EVENTO UNICENTRO AUT HERNAN
";ATP739868;Hyundai;HB20S;2026;;Cliente;OTRO;36599;10;12/09/2025;12/09/2025;0;Facturada
OTM/2406/2025;1;"CLIENTES SOLICTA  LAVADO GEENRAL SUMINISTRO COMBUSTIBLE
";DTU129559;Hyundai;Santa Fe;2026;;Cliente;OTRO;36599;10;12/09/2025;12/09/2025;0;Facturada
OTM/2407/2025;1;"CLIENTES SOLICITA LAVADO GENERAL SUMINISTRO COMBUSTIBLE  AUT HERNAN
";BTU428367;Hyundai;Tucson;2026;;Cliente;OTRO;36599;10;12/09/2025;12/09/2025;0;Facturada
OTM/2408/2025;1;"CLIENTES SOLICTA LAVADO GENERAL SUMINISTRO COMBUSTIBLE AUT HERNAN
";BTU385893;Hyundai;Venue;2026;;Cliente;OTRO;36599;10;12/09/2025;12/09/2025;0;Facturada
OTM/2409/2025;1;"CLIENTES SOLICITA  LAVADO GENERAL
";GTU141136;Hyundai;Kona;2026;;Cliente;OTRO;36599;10;12/09/2025;18/09/2025;6;Anulado
OTM/2410/2025;1;"CLIENTES SOLICITA LAVADO GENERAL  SUMINISTRO COMBUST EVENTO UNICENTRO AUT HERNAN
";FTU032039;Hyundai;Kona;2026;;Cliente;OTRO;36599;10;12/09/2025;12/09/2025;0;Facturada
OTM/2411/2025;1;CLIENTES SOLICTA LAVADO GENERAL SUMINISTRO COMBUSTIBLE EVENTO UNICENTRO AUT HERNAN;ATM352382;Hyundai;Grand I10 NB;2026;;Cliente;OTRO;36599;10;12/09/2025;12/09/2025;0;Facturada
OTM/2412/2025;1;"CLIENTE SOLICTA LAVADO GENERAL SUMINISTRO DE COMBUSTIBLE EVENTO UNICENTRO AUT HERNAN
";ATM625480;Hyundai;Grand I10;2026;;Cliente;OTRO;36599;10;12/09/2025;12/09/2025;0;Facturada
OTM/2413/2025;1;"CLIENTES SOLICITA LAVADO GENERAL SUMINISTRO D COMBUSTIBLE EVENTO UNICENTRO AUT HERNAN
";GTU134523;Hyundai;Kona;2026;;Cliente;OTRO;36599;10;12/09/2025;12/09/2025;0;Facturada
OTM/2413/2025;2;"CLIENTES SOLICITA LAVADO GENERAL SUMINISTRO D COMBUSTIBLE EVENTO UNICENTRO AUT HERNAN
";GTU134523;Hyundai;Kona;2026;;Cliente;OTRO;36599;10;12/09/2025;30/12/2025;0;Facturada
OTM/2413/2025;3;"CLIENTES SOLICITA LAVADO GENERAL SUMINISTRO D COMBUSTIBLE EVENTO UNICENTRO AUT HERNAN
";GTU134523;Hyundai;Kona;2026;;Cliente;OTRO;4;10;12/09/2025;30/12/2025;0;Anulado
OTM/2415/2025;1;CLIENTE SOLITA LAVADO GENERAL REV NIVELES FLUIDOS;ASP665256;Hyundai;HB20;2025;;Cliente;MECANICA;36599;10;13/09/2025;13/09/2025;0;Facturada
OTM/2418/2025;1;"TOMA JUEGOS IMPRONTAS
";BTJ367051;Hyundai;Tucson;2026;;Interno;MECANICA;2;10;15/09/2025;15/09/2025;0;Facturada
OTM/2419/2025;1;CLIENTES SOLICTA TOMA JUEGOS IMPRONTAS;BTJ367012;Hyundai;Tucson;2026;;Interno;MECANICA;2;10;15/09/2025;15/09/2025;0;Facturada
OTM/2452/2025;1;"SUMINISTRO COMBUSTIBLE
";BTJ585216;Hyundai;Tucson;2026;;Interno;OTRO;2;10;18/09/2025;18/09/2025;0;Facturada
OTM/2455/2025;1;CLIENTE SOLICTA SUMINISTRODE COMBUSTIBLE;BTJ586394;Hyundai;Tucson;2026;;Interno;OTRO;2;10;18/09/2025;18/09/2025;0;Facturada
OTM/2456/2025;1;CLIENTES SOLICITA SUMINISTRO COMBUSTIBLE;BTJ388041;Hyundai;Tucson;2026;;Interno;OTRO;2;10;18/09/2025;18/09/2025;0;Facturada
